Round,A,B,C,D,E,F,Leader
0,0.02923332320707353,0.019785693080353245,0.25787367819042534,0.3314629002122806,0.33044054361238623,0.030048936639280713,D
1,0.36819749477615926,0.21876031288146236,0.4484833432788331,0.5442894996550851,0.04204172527922468,0.10709548252879386,D
2,0.8167032580932494,0.18762100770575968,0.23521721276707216,0.5973613085949221,1.9927831938758582,1.9179496616134055,E
3,1.7474545318355488,0.4380960385598205,0.7129253012352303,1.521404910705416,1.2404995228294464,0.3251361896191737,A
4,0.28519749487689705,0.37381261581998526,1.4764691588837706,2.0337153081699686,0.42759094883430165,2.3464892390257113,F
5,1.0359733277423755,1.1620194696042918,1.3687034618654286,1.1251585991744633,0.6508373417691602,1.0732230895496873,C
6,2.117267233180812,0.41353439504410083,0.18177553795129472,2.9289173995648903,0.9068599190426145,1.9655586291622982,D
7,1.8589656595725421,0.4229172275577856,0.4060614842275028,0.1639469224122386,0.586169873900683,1.1881297430829685,A
8,0.6531696847842094,1.5941235448680762,0.6596348740463032,0.10072574366615186,3.376194240114115,2.2614758986780137,E
9,0.44137486103980955,0.8465011194037244,0.3039152665294204,0.8289332910889833,1.8549183472171429,0.9148502861215341,E
10,1.7090238626784817,1.2853681964144408,2.3264677640051725,3.850642085368844,1.2236759935757149,2.6681791900594636,D
11,1.908080885693926,2.1036746959638055,0.9642952871443379,0.9483770541875516,1.4611179505394378,1.951225922103384,B
12,0.10769404008498897,0.5185638820832175,0.1545408628827497,2.9525733340821514,0.3099435583295481,2.624186201202993,D
13,2.8583039493794127,0.7921635503914307,3.1003969985357562,0.006477538240609441,1.185184941954774,4.073729390299536,F
14,2.2534678391178464,1.3127728374118088,2.1179112044725956,2.2644532513351567,1.4049264649097835,0.8450235307199145,D
15,2.1497339067893533,1.1116656399004503,0.9479479556228919,1.3691855002082338,3.977205016307821,0.5166452836536163,E
16,0.7515934841784924,0.11338578653493928,3.6677945468017588,1.6686283407807376,0.5363914834027114,1.6565671659914258,C
17,3.6955297349728706,1.1819628275028535,0.19315202308846724,0.4940323250970453,2.070195302387125,3.6297444889920705,A
18,1.3252471779142325,0.7006191898624816,0.14286440146821228,2.330097484398424,1.1222131430039646,1.7685185127396141,D
19,1.425402647456944,1.2892932112929527,0.10692738591066836,0.48457604415797567,3.6884328983644052,1.486877356744639,E
20,1.9240754476822546,0.3234534181829159,2.511678538472958,1.1775517944565186,1.1220399340176543,4.572357479374408,F
21,0.3112114333088311,2.318283287556048,1.9567864823387662,4.456922329815259,0.7552911131891443,1.432866264849527,D
22,3.2507500275523404,0.12074109904290799,1.6744412612185542,0.9602706790685622,4.020820822282654,2.7689388571079925,E
23,2.5339611674710794,2.1088588514632796,0.38060328366420443,1.270877191164831,2.427159805378934,0.6511124372897975,A
24,1.6382672962852531,1.3035602744539834,1.8603845507406647,3.596082855254536,1.7314400436584925,4.821651683752374,F
25,1.1296786584843956,1.6308542833465962,1.2847429100076317,2.5105643049935766,3.6040196493233636,1.589297085142399,E
26,1.3862028602134528,2.0955794819549154,1.14757739181736,5.88281047274777,1.1712870620331217,3.28539242753424,D
27,3.1386871497139643,0.8505934004860224,0.9110718445496611,0.5066682233891887,1.92586658910489,1.5084019896381484,A
28,1.7447434306062928,3.008435053095449,0.3171331485342543,1.9026430744155929,1.06677320349543,2.5486705140897192,B
29,2.349415798636364,0.093408843453364,0.7502090491959905,3.3749545472894558,4.90894602539598,1.9260667641707203,E
30,2.6386629080899944,0.6799940773121121,4.188086410942935,4.973979684806468,2.1268588307173655,3.308160391143645,D
31,2.826875821062025,0.5590264068691494,3.2776017979727547,1.9770778171137804,0.47292282983893286,2.2156017589372063,C
32,4.255884852742722,0.195713008482566,0.2294474372569528,1.5812302859257843,1.475523038842093,3.467049433964233,A
33,0.0947842419172691,0.9321626447421726,1.9736303720187358,3.0178591772448846,1.783421058256884,3.4664754542308267,F
34,1.828054525411825,0.5061071362245722,2.4531022459779126,5.545807738507828,4.4349525969759185,0.38151033191712064,D
35,2.558972016862847,1.774752509661546,1.1755976346723749,1.786408508704096,1.5640665906577722,3.437684996056053,F
36,4.242406829133466,2.711455289809958,3.096506210747664,1.2799579033835558,4.534556661870102,2.333987623788326,E
37,2.6071796557514326,2.2683864215324188,3.5002774350496577,2.5033785645443722,1.415677367740354,1.7346795042239604,C
38,5.085701797447496,0.34524954296234855,0.6047951584633685,4.517124171298742,4.476501530042149,1.9265062835939104,A
39,0.019687202770617033,0.01404458179029989,1.9751666531427927,0.6281160450804452,3.0533091722572157,0.6802370392611324,E
40,2.610224742938826,2.41600900500727,2.1288714494155996,6.209508184103369,1.5667101320615953,4.935129674995805,D
41,2.0099144102281574,0.39285705661652026,1.9597222042351683,1.4677909252854349,3.1895942347961324,3.391407374484434,F
42,0.041659800412977274,0.6024841249334608,2.5552897065288676,3.5992009197447565,0.998294293470337,0.592102645182258,D
43,4.614925494217877,2.2726859482432316,1.6176561956378688,1.4687350667159786,2.4129335007725983,1.100697599131774,A
44,0.8970436906165423,0.9532277075045967,3.4104858231129835,2.339486437186422,7.695068216862339,3.321069230772125,E
45,2.5903383636315365,0.3511394386512278,3.0789027519330086,0.5608015768928297,2.5909376757358924,1.6824254053133834,C
46,0.4772854546624949,1.6461895187903142,1.1765590351241417,4.446251749859351,1.1154553002043373,4.198143029206891,D
47,1.6994453404091419,2.691020293358547,1.33069927397483,0.21438634941343165,3.165059184197851,4.444667518274177,F
48,2.764848980226307,3.042916212789211,1.2033242739451326,1.0702679921953169,2.508598732120498,0.8219152055637007,B
